name,image,html,player_name,nba_id
KentaviousCaldwell-Pope,https://cdn.nba.com/headshots/nba/latest/260x190/203484.png,/player/203484/kentavious-caldwell-pope/,kentavious caldwell pope,203484
FacundoCampazzo,https://cdn.nba.com/headshots/nba/latest/260x190/1630267.png,/player/1630267/facundo-campazzo/,facundo campazzo,1630267
VlatkoCancar,https://cdn.nba.com/headshots/nba/latest/260x190/1628427.png,/player/1628427/vlatko-cancar/,vlatko cancar,1628427
ClintCapela,https://cdn.nba.com/headshots/nba/latest/260x190/203991.png,/player/203991/clint-capela/,clint capela,203991
VernonCarey Jr.,https://cdn.nba.com/headshots/nba/latest/260x190/1630176.png,/player/1630176/vernon-carey-jr/,vernon carey jr,1630176
JevonCarter,https://cdn.nba.com/headshots/nba/latest/260x190/1628975.png,/player/1628975/jevon-carter/,jevon carter,1628975
WendellCarter Jr.,https://cdn.nba.com/headshots/nba/latest/260x190/1628976.png,/player/1628976/wendell-carter-jr/,wendell carter jr,1628976
AlexCaruso,https://cdn.nba.com/headshots/nba/latest/260x190/1627936.png,/player/1627936/alex-caruso/,alex caruso,1627936
JulianChampagnie,https://cdn.nba.com/headshots/nba/latest/260x190/1630577.png,/player/1630577/julian-champagnie/,julian champagnie,1630577
JustinChampagnie,https://cdn.nba.com/headshots/nba/latest/260x190/1630551.png,/player/1630551/justin-champagnie/,justin champagnie,1630551
KennedyChandler,https://cdn.nba.com/headshots/nba/latest/260x190/1631113.png,/player/1631113/kennedy-chandler/,kennedy chandler,1631113
MaxChristie,https://cdn.nba.com/headshots/nba/latest/260x190/1631108.png,/player/1631108/max-christie/,max christie,1631108
JoshChristopher,https://cdn.nba.com/headshots/nba/latest/260x190/1630528.png,/player/1630528/josh-christopher/,josh christopher,1630528
BrandonClarke,https://cdn.nba.com/headshots/nba/latest/260x190/1629634.png,/player/1629634/brandon-clarke/,brandon clarke,1629634
JordanClarkson,https://cdn.nba.com/headshots/nba/latest/260x190/203903.png,/player/203903/jordan-clarkson/,jordan clarkson,203903
NicClaxton,https://cdn.nba.com/headshots/nba/latest/260x190/1629651.png,/player/1629651/nic-claxton/,nic claxton,1629651
AmirCoffey,https://cdn.nba.com/headshots/nba/latest/260x190/1629599.png,/player/1629599/amir-coffey/,amir coffey,1629599
JohnCollins,https://cdn.nba.com/headshots/nba/latest/260x190/1628381.png,/player/1628381/john-collins/,john collins,1628381
ZachCollins,https://cdn.nba.com/headshots/nba/latest/260x190/1628380.png,/player/1628380/zach-collins/,zach collins,1628380
MikeConley,https://cdn.nba.com/headshots/nba/latest/260x190/201144.png,/player/201144/mike-conley/,mike conley,201144
PatConnaughton,https://cdn.nba.com/headshots/nba/latest/260x190/1626192.png,/player/1626192/pat-connaughton/,pat connaughton,1626192
RobertCovington,https://cdn.nba.com/headshots/nba/latest/260x190/203496.png,/player/203496/robert-covington/,robert covington,203496
TorreyCraig,https://cdn.nba.com/headshots/nba/latest/260x190/1628470.png,/player/1628470/torrey-craig/,torrey craig,1628470
JaeCrowder,https://cdn.nba.com/headshots/nba/latest/260x190/203109.png,/player/203109/jae-crowder/,jae crowder,203109
JarrettCulver,https://cdn.nba.com/headshots/nba/latest/260x190/1629633.png,/player/1629633/jarrett-culver/,jarrett culver,1629633
CadeCunningham,https://cdn.nba.com/headshots/nba/latest/260x190/1630595.png,/player/1630595/cade-cunningham/,cade cunningham,1630595
SethCurry,https://cdn.nba.com/headshots/nba/latest/260x190/203552.png,/player/203552/seth-curry/,seth curry,203552
StephenCurry,https://cdn.nba.com/headshots/nba/latest/260x190/201939.png,/player/201939/stephen-curry/,stephen curry,201939
DysonDaniels,https://cdn.nba.com/headshots/nba/latest/260x190/1630700.png,/player/1630700/dyson-daniels/,dyson daniels,1630700
AnthonyDavis,https://cdn.nba.com/headshots/nba/latest/260x190/203076.png,/player/203076/anthony-davis/,anthony davis,203076
JohnnyDavis,https://cdn.nba.com/headshots/nba/latest/260x190/1631098.png,/player/1631098/johnny-davis/,johnny davis,1631098
TerenceDavis,https://cdn.nba.com/headshots/nba/latest/260x190/1629056.png,/player/1629056/terence-davis/,terence davis,1629056
JDDavison,https://cdn.nba.com/headshots/nba/latest/260x190/1631120.png,/player/1631120/jd-davison/,jd davison,1631120
DariusDays,https://cdn.nba.com/headshots/nba/latest/260x190/1630620.png,/player/1630620/darius-days/,darius days,1630620
DeMarDeRozan,https://cdn.nba.com/headshots/nba/latest/260x190/201942.png,/player/201942/demar-derozan/,demar derozan,201942
DewayneDedmon,https://cdn.nba.com/headshots/nba/latest/260x190/203473.png,/player/203473/dewayne-dedmon/,dewayne dedmon,203473
MatthewDellavedova,https://cdn.nba.com/headshots/nba/latest/260x190/203521.png,/player/203521/matthew-dellavedova/,matthew dellavedova,203521
DonteDiVincenzo,https://cdn.nba.com/headshots/nba/latest/260x190/1628978.png,/player/1628978/donte-divincenzo/,donte divincenzo,1628978
MoussaDiabate,https://cdn.nba.com/headshots/nba/latest/260x190/1631217.png,/player/1631217/moussa-diabate/,moussa diabate,1631217
MamadiDiakite,https://cdn.nba.com/headshots/nba/latest/260x190/1629603.png,/player/1629603/mamadi-diakite/,mamadi diakite,1629603
HamidouDiallo,https://cdn.nba.com/headshots/nba/latest/260x190/1628977.png,/player/1628977/hamidou-diallo/,hamidou diallo,1628977
