,Player,Team,Age,Less than 5ft._FGM,Less than 5ft._FGA,Less than 5ft._FG%,5-9 ft._FGM,5-9 ft._FGA,5-9 ft._FG%,10-14 ft._FGM,10-14 ft._FGA,10-14 ft._FG%,15-19 ft._FGM,15-19 ft._FGA,15-19 ft._FG%,20-24 ft._FGM,20-24 ft._FGA,20-24 ft._FG%,25-29 ft._FGM,25-29 ft._FGA,25-29 ft._FG%
173,Isaac Okoro,CLE,22,7.7,12.6,60.9,2.2,4.8,45.5,1.2,3.3,36.3,1.1,2.4,46.5,2.0,5.0,41.2,3.1,8.3,37.3
174,Isaiah Hartenstein,NYK,24,6.5,11.3,57.5,1.5,3.4,43.9,1.5,3.3,45.2,1.1,2.6,42.2,2.4,6.3,37.9,3.2,9.0,35.2
175,Isaiah Jackson,IND,21,6.6,10.5,62.8,1.2,2.7,45.9,1.0,2.0,48.3,0.6,1.5,40.0,1.6,4.5,35.0,2.6,7.1,36.0
176,Isaiah Joe,OKC,23,6.0,9.4,63.1,1.7,3.6,45.8,0.9,1.9,48.4,0.6,1.5,36.9,1.4,4.4,32.3,2.6,7.5,34.1
177,Isaiah Livers,DET,24,9.1,14.2,64.5,1.9,4.4,42.9,0.9,2.3,37.9,0.7,1.9,38.4,2.2,5.7,37.8,3.3,8.8,37.2
178,Isaiah Mobley,CLE,23,1.1,1.7,66.7,0.0,0.8,0.0,0.0,0.5,0.0,0.1,0.4,33.3,0.2,1.2,16.7,0.6,2.6,22.2
179,Isaiah Roby,SAS,25,4.6,7.3,63.7,1.4,2.5,54.1,0.5,1.4,37.5,0.8,1.4,54.7,1.4,3.3,41.9,1.8,4.9,36.3
180,Isaiah Stewart,DET,21,11.9,18.3,64.8,2.7,5.9,45.5,1.7,4.0,42.1,1.4,3.0,45.9,3.4,8.8,39.1,4.5,12.0,37.5
181,Isaiah Todd,WAS,21,1.3,1.3,100.0,0.3,0.7,50.0,0.0,0.3,0.0,0.0,0.0,0.0,0.3,0.3,100,0.7,2.0,33.3
182,Ish Smith,DEN,34,4.1,6.5,63.0,1.1,2.6,42.9,0.6,1.2,51.9,0.5,1.6,34.1,1.1,3.0,37.8,1.6,4.9,32.4
183,Ish Wainright,PHX,28,5.5,8.8,63.1,1.4,3.3,41.4,1.1,3.0,38.2,0.7,1.8,41.4,1.4,3.8,37.5,1.9,6.5,29.5
184,Ivica Zubac,LAC,25,10.1,15.7,64.1,3.3,7.0,47.2,2.5,5.5,46.6,1.5,3.5,42.2,2.9,7.6,38.6,5.1,13.8,37.1
185,JD Davison,BOS,20,0.5,1.0,50.0,0.0,0.0,0.0,0.3,0.7,50.0,0.0,0.0,0.0,0.8,1.6,50.0,0.6,1.2,50.0
186,JT Thor,CHA,20,3.8,6.0,62.6,1.0,2.3,41.3,0.8,1.8,46.8,0.7,1.6,43.1,1.4,3.3,44.2,1.4,4.9,29.7
187,Ja Morant,MEM,23,12.3,20.9,59.1,2.5,6.6,38.3,2.0,5.0,40.7,1.5,3.6,42.4,3.6,9.6,37.7,5.2,14.9,34.9
188,JaMychal Green,GSW,32,5.5,8.5,65.0,2.2,4.7,47.8,0.8,1.7,47.1,0.7,1.3,54.9,1.3,3.8,34.7,2.7,7.1,38.0
189,JaVale McGee,DAL,35,3.5,5.4,65.1,1.1,2.1,53.6,0.5,1.3,41.3,0.7,1.3,51.1,1.2,2.6,43.7,1.1,3.2,33.0
190,Jabari Smith Jr.,HOU,19,11.6,17.6,66.0,2.5,5.8,42.2,2.0,4.0,48.6,1.3,3.2,39.3,2.9,7.9,37.0,6.4,16.9,37.9
191,Jabari Walker,POR,20,3.9,6.2,62.3,0.6,1.6,40.4,0.4,1.0,41.2,0.3,0.9,31.3,0.9,2.8,33.3,1.4,4.0,35.3
192,Jack White,DEN,25,1.3,2.1,64.0,0.5,0.7,71.4,0.4,0.6,60.0,0.0,0.1,0.0,0.4,0.9,50.0,0.7,1.6,42.1
193,Jaden Hardy,DAL,20,5.3,7.8,68.2,1.4,2.4,57.5,0.8,1.7,49.0,0.9,1.8,53.1,1.0,3.4,29.1,1.6,5.0,30.8
194,Jaden Ivey,DET,21,13.9,20.9,66.4,2.8,6.1,45.9,1.7,3.9,42.5,1.3,3.0,42.6,3.6,8.8,40.5,4.6,12.2,37.5
195,Jaden McDaniels,MIN,22,11.6,19.2,60.7,2.5,5.7,43.5,2.1,4.9,42.9,1.2,3.1,36.8,4.0,10.5,37.9,4.4,12.2,36.3
196,Jaden Springer,PHI,20,0.7,1.5,44.4,0.1,0.6,25.0,0.5,0.8,66.7,0.2,0.5,33.3,0.4,0.8,50.0,1.1,3.1,36.4
197,Jae'Sean Tate,HOU,27,8.0,12.3,64.6,1.6,3.5,46.4,1.4,3.0,45.8,0.8,1.8,44.4,2.6,6.5,40.0,3.8,11.5,33.2
198,Jake LaRavia,MEM,21,5.8,8.8,65.7,0.9,2.3,37.3,0.6,1.7,38.3,0.4,1.0,40.7,1.2,3.3,37.5,1.9,6.8,28.6
199,Jakob Poeltl,TOR,27,12.4,18.8,65.8,2.4,5.4,43.9,2.0,4.4,46.1,1.6,3.3,48.5,2.8,6.2,46.0,4.2,10.3,40.8
200,Jalen Brunson,NYK,26,12.9,20.6,62.8,2.4,6.0,41.0,2.5,5.1,49.1,1.8,4.2,43.8,4.5,11.4,39.5,5.3,15.7,33.9
201,Jalen Duren,DET,19,11.5,17.4,66.4,2.4,5.5,43.0,1.1,2.7,41.5,1.0,2.5,39.8,3.0,7.2,42.2,3.3,10.0,33.5
202,Jalen Green,HOU,21,13.6,20.2,67.7,2.8,6.1,46.1,1.9,4.2,44.3,1.4,3.6,39.1,3.3,8.9,37.1,7.4,19.2,38.6
203,Jalen Johnson,ATL,21,6.7,10.3,65.0,0.9,2.6,32.9,0.8,2.2,36.4,0.5,1.1,44.6,1.6,4.4,35.6,2.2,6.3,35.2
204,Jalen McDaniels,PHI,25,10.0,16.2,61.6,2.2,5.1,44.2,1.7,3.8,43.4,1.4,3.5,40.8,2.8,6.6,41.8,4.7,13.0,36.1
205,Jalen Smith,IND,22,8.2,13.2,62.6,1.5,3.4,44.5,0.8,2.2,36.6,0.9,2.0,45.5,1.9,4.9,37.7,3.0,8.5,35.1
206,Jalen Suggs,ORL,21,8.8,13.2,66.6,1.5,3.8,38.1,1.4,3.2,42.5,0.9,2.1,45.2,2.9,7.5,37.9,4.0,11.1,35.7
207,Jalen Williams,OKC,21,11.7,19.1,61.1,2.6,5.8,46.0,1.6,3.6,45.8,1.2,2.7,45.5,3.6,8.9,40.0,4.3,12.8,33.8
208,Jamal Cain,MIA,23,4.2,6.6,64.0,1.4,2.9,46.9,1.2,2.4,48.3,1.0,1.8,57.1,2.6,5.3,48.4,2.0,7.9,25.3
209,Jamal Murray,DEN,26,14.3,21.0,68.0,2.4,6.6,36.1,2.3,4.9,46.4,1.7,3.8,43.9,3.4,9.0,37.5,4.4,13.2,33.7
210,Jamaree Bouyea,MIA,23,6.3,9.0,69.4,1.8,2.5,70.0,1.5,2.3,66.7,0.7,2.0,33.3,2.0,4.3,47.1,2.3,6.8,33.3
211,James Bouknight,CHA,22,4.8,8.4,57.3,1.6,3.1,50.7,0.9,2.2,42.3,0.5,1.4,34.3,1.4,3.6,40.2,2.3,7.5,31.0
212,James Harden,PHI,33,13.5,20.2,66.9,2.9,7.0,41.0,2.1,5.4,39.1,2.1,5.0,41.6,3.2,8.7,36.7,6.0,17.3,34.5
213,James Johnson,IND,36,2.4,3.7,65.9,0.5,1.4,40.0,0.6,1.4,41.2,0.8,1.6,50.0,0.7,2.1,34.8,1.3,3.5,37.1
214,James Wiseman,DET,21,4.3,6.6,66.2,1.5,3.6,42.7,1.0,2.0,50.0,0.7,1.4,48.3,1.9,4.3,43.0,2.9,6.9,41.8
215,Jared Rhoden,DET,23,9.0,11.0,81.8,2.0,3.0,66.7,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,50.0,1.0,2.0,50.0
216,Jaren Jackson Jr.,MEM,23,9.3,17.0,54.8,2.0,5.7,35.2,1.7,4.5,37.3,1.0,2.6,37.6,3.3,8.7,38.6,4.2,12.5,33.5
217,Jarred Vanderbilt,LAL,23,10.6,16.5,64.3,2.6,5.5,48.1,1.6,3.2,51.4,1.1,2.4,46.0,2.5,6.3,39.0,3.7,9.9,36.8
218,Jarrett Allen,CLE,24,11.6,19.1,60.8,2.9,6.5,44.4,2.0,4.9,41.0,1.6,3.6,43.6,3.8,8.8,42.9,4.6,13.2,34.9
219,Jarrett Culver,ATL,24,7.2,10.6,68.4,1.1,2.6,43.5,0.8,2.3,33.3,0.6,1.9,33.3,1.6,4.0,40.6,2.3,5.7,40.4
220,Jason Preston,LAC,23,3.5,5.3,65.2,0.6,2.0,29.2,1.1,1.7,63.2,0.6,1.3,46.7,0.8,2.1,37.0,1.8,4.1,43.4
221,Javonte Green,CHI,29,5.8,9.9,58.8,1.4,3.4,40.0,1.0,2.4,40.9,0.6,1.5,36.6,1.4,4.0,35.4,3.1,7.8,39.6
222,Jaxson Hayes,NOP,22,5.5,7.8,70.8,0.9,2.3,40.0,0.7,1.8,36.8,0.8,1.5,54.5,1.6,3.8,42.1,2.2,6.8,32.4
223,Jaylen Brown,BOS,26,13.1,20.3,64.9,3.2,8.2,39.2,2.7,6.1,43.2,3.0,5.9,50.2,3.3,8.4,39.5,6.0,17.5,34.5
224,Jaylen Nowell,MIN,23,8.1,12.5,65.1,1.6,3.9,41.1,1.4,3.2,43.0,0.8,2.0,39.5,2.4,6.4,38.1,2.5,7.2,34.7
225,Jaylin Williams,OKC,20,6.2,9.5,65.6,1.3,3.4,39.3,1.2,2.6,44.8,0.7,1.5,48.6,2.0,4.8,43.0,2.8,7.6,36.4
226,Jayson Tatum,BOS,24,12.6,20.0,63.2,3.8,8.9,42.9,2.8,6.7,42.4,2.7,5.4,50.0,3.8,9.3,41.0,6.3,18.7,33.7
227,Jeff Dowtin Jr.,TOR,25,2.7,4.8,56.6,0.5,1.0,46.2,0.6,1.4,47.4,0.5,1.2,38.5,0.7,2.3,30.6,1.3,3.3,39.6
228,Jeff Green,DEN,36,8.2,11.8,69.4,1.7,4.4,39.1,1.1,2.5,41.5,0.8,1.9,42.5,1.8,5.2,35.0,3.1,9.0,34.0
229,Jerami Grant,POR,28,15.6,24.4,64.1,2.8,6.6,42.1,2.1,5.1,40.6,2.0,4.5,45.0,3.6,9.7,37.0,5.5,14.3,38.7
230,Jeremiah Robinson-Earl,OKC,22,8.7,14.1,61.4,2.3,5.0,46.9,1.3,2.5,50.7,0.4,1.8,24.5,2.6,6.7,39.2,3.2,8.0,39.9
231,Jeremy Sochan,SAS,19,11.8,18.0,65.6,2.1,4.9,43.0,2.2,4.4,49.1,1.8,3.4,52.8,3.1,6.5,46.8,4.2,10.8,38.9
232,Jericho Sims,NYK,24,5.7,9.1,62.5,1.2,3.2,38.0,1.5,3.0,51.5,1.0,2.0,48.9,2.0,4.7,42.1,2.5,7.6,33.0
233,Jevon Carter,MIL,27,7.7,12.5,61.9,2.1,5.4,39.9,2.5,5.3,47.7,1.4,3.8,38.2,1.4,4.5,31.9,3.6,10.4,34.6
234,Jimmy Butler,MIA,33,11.9,17.4,68.1,3.4,6.9,48.8,1.8,4.4,42.0,1.5,3.6,41.4,4.2,10.1,42.0,5.2,14.1,36.5
235,Jock Landale,PHX,27,5.3,8.5,62.4,1.3,3.2,40.7,0.9,2.2,39.3,0.4,1.1,31.0,1.4,3.5,38.3,1.9,5.5,33.9
236,Joe Harris,BKN,31,9.7,15.4,62.6,2.0,5.8,34.2,1.3,3.5,36.1,1.2,2.4,48.4,3.0,6.9,43.6,3.1,9.5,32.8
237,Joe Ingles,MIL,35,8.7,13.8,62.7,2.0,4.8,40.8,1.8,4.5,41.1,1.5,4.0,38.0,2.0,5.4,38.1,3.3,9.8,34.0
