,Player,Team,Age,Restricted Area_FGM,Restricted Area_FGA,Restricted Area_FG%,In The Paint (Non-RA)_FGM,In The Paint (Non-RA)_FGA,In The Paint (Non-RA)_FG%,Mid-Range_FGM,Mid-Range_FGA,Mid-Range_FG%,Left Corner 3._FGM,Left Corner 3._FGA,Left Corner 3._FG%,Right Corner 3._FGM,Right Corner 3._FGA,Right Corner 3._FG%,Corner 3_FGM,Corner 3_FGA,Corner 3_FG%,Above the Break 3._FGM,Above the Break 3._FGA,Above the Break 3._FG%
456,Terence Davis,SAC,25,5.0,7.5,66.3,2.4,5.6,43.4,1.2,2.9,40.7,0.6,1.2,47.1,0.8,1.7,43.8,1.2,2.6,45.2,2.4,6.5,36.9
457,Terrence Ross,PHX,32,8.7,12.5,69.4,2.7,6.5,41.7,2.2,4.8,46.7,0.9,1.9,45.8,0.8,2.2,34.8,1.6,4.1,40.0,3.8,13.0,29.3
458,Terry Rozier,CHA,28,13.6,21.1,64.6,5.8,11.7,49.9,3.6,7.8,46.8,1.2,3.2,37.9,1.6,3.5,45.2,2.8,6.8,41.7,6.3,18.2,34.9
459,Terry Taylor,CHI,23,3.5,5.3,66.4,1.2,2.7,43.3,0.4,1.5,27.0,0.5,1.3,38.1,0.6,1.5,39.3,1.0,2.5,38.8,2.0,4.8,41.9
460,Thaddeus Young,TOR,34,6.3,8.5,74.3,1.9,4.0,47.6,1.0,2.3,41.7,0.9,2.2,39.6,0.7,2.0,36.7,1.5,4.0,38.2,2.9,8.1,36.0
461,Thanasis Antetokounmpo,MIL,30,2.4,3.3,72.6,0.5,1.2,37.0,0.3,0.8,36.8,0.4,0.8,50.0,0.8,1.2,66.7,0.7,1.2,58.3,0.9,2.7,33.8
462,Theo Maledon,CHA,21,5.8,9.3,62.4,2.8,5.3,52.9,1.5,3.1,47.7,0.7,1.6,42.3,0.8,2.1,37.9,1.3,3.3,39.8,3.1,8.8,34.9
463,Theo Pinson,DAL,27,3.2,4.4,73.2,1.4,2.6,53.8,1.1,2.3,46.3,0.3,1.1,23.5,0.5,0.9,58.8,0.6,1.5,41.2,1.1,4.0,28.5
464,Thomas Bryant,DEN,25,8.4,12.1,69.5,3.8,7.8,48.7,2.3,5.2,44.7,0.9,2.5,37.8,0.8,1.9,43.4,1.6,4.0,40.2,3.6,10.9,33.5
465,Tim Hardaway Jr.,DAL,30,10.4,15.5,66.9,4.7,10.3,45.9,3.0,6.7,45.0,1.2,2.9,40.1,1.0,2.6,36.8,2.1,5.6,38.6,4.9,14.9,33.3
