,PLAYER,TEAM,AGE,GP,G,FREQ,FGM,FGA,FG%,EFG%,2FG FREQ,2FGM,2FGA,2FG%,3FG FREQ,3PM,3PA,3P%
220,Joshua Primo,SAS,20,4,4,34.6,0.5,2.3,22.2,33.3,0.0,0.0,0.0,-,34.6,0.5,2.3,22.2
221,Oshae Brissett,IND,24,49,42,50.2,0.7,2.2,32.7,49.1,0.0,0.0,0.0,-,50.2,0.7,2.2,32.6
222,DeMar DeRozan,CHI,33,53,50,12.4,0.8,2.2,35.6,44.5,4.8,0.4,0.9,46.0,7.5,0.4,1.4,29.4
223,Paolo Banchero,ORL,20,54,48,14.4,0.7,2.2,30.0,44.6,0.6,0.0,0.1,22.2,13.8,0.7,2.1,30.5
224,Ousmane Dieng,OKC,19,19,16,54.5,0.7,2.2,31.0,46.4,0.0,0.0,0.0,-,54.5,0.7,2.2,30.8
225,Moses Moody,GSW,20,45,38,56.9,0.7,2.2,33.3,50.0,1.1,0.0,0.0,0.0,55.7,0.7,2.2,33.8
226,Jalen Suggs,ORL,21,36,30,27.3,0.7,2.2,31.6,46.2,1.7,0.1,0.1,42.9,25.6,0.6,2.1,31.1
227,Domantas Sabonis,SAC,26,57,52,18.7,0.9,2.2,43.5,52.8,8.9,0.5,1.0,51.9,9.8,0.4,1.1,35.1
228,Nassir Little,POR,23,38,35,43.0,0.8,2.2,37.3,56.0,0.0,0.0,0.0,-,43.0,0.8,2.2,37.6
229,Wesley Matthews,MIL,36,39,34,72.0,0.7,2.2,31.8,47.6,0.0,0.0,0.0,-,72.0,0.7,2.2,31.7
230,Monte Morris,WAS,27,51,44,26.2,0.9,2.2,40.0,59.5,0.7,0.0,0.1,33.3,25.5,0.8,2.1,40.0
231,Kevin Porter Jr.,HOU,22,40,32,14.0,0.9,2.1,41.9,62.2,0.5,0.0,0.1,37.5,13.5,0.9,2.1,42.3
232,JaMychal Green,GSW,32,40,36,46.2,0.8,2.1,36.0,52.3,4.3,0.1,0.2,40.0,41.9,0.7,1.9,35.9
233,Kendrick Nunn,WAS,27,51,42,32.7,0.8,2.1,36.1,53.2,0.9,0.0,0.1,66.7,31.8,0.7,2.1,35.4
234,Mike Conley,MIN,35,47,38,24.2,0.9,2.1,43.4,64.1,0.7,0.0,0.1,66.7,23.5,0.9,2.0,42.6
235,Josh Hart,NYK,27,56,50,29.2,0.8,2.1,37.3,55.5,1.0,0.0,0.1,28.6,28.2,0.8,2.0,37.7
236,Chris Duarte,IND,25,38,33,29.4,0.7,2.1,31.3,45.6,1.1,0.1,0.1,62.5,28.3,0.6,2.0,30.0
237,Precious Achiuwa,TOR,23,37,35,25.9,0.6,2.1,26.9,37.8,3.3,0.1,0.3,40.7,22.6,0.5,1.8,25.0
238,Will Barton,WAS,32,40,34,29.5,0.9,2.1,44.0,64.9,2.5,0.1,0.2,27.8,27.0,0.9,1.9,45.6
239,Dario Saric,OKC,28,40,34,44.0,0.8,2.1,39.3,56.5,6.8,0.1,0.3,30.3,37.2,0.7,1.8,41.0
240,Payton Pritchard,BOS,25,42,33,45.6,0.8,2.1,38.6,57.4,1.0,0.0,0.1,40.0,44.6,0.8,2.0,38.5
241,Bam Adebayo,MIA,25,56,48,13.2,0.9,2.1,44.8,45.3,12.3,0.9,1.9,47.2,0.9,0.0,0.1,14.3
242,Ricky Rubio,CLE,32,15,12,37.3,0.7,2.1,32.3,48.4,0.0,0.0,0.0,-,37.3,0.7,2.1,32.4
243,Isaac Okoro,CLE,22,63,52,44.5,0.7,2.0,34.9,52.3,0.0,0.0,0.0,-,44.5,0.7,2.0,34.6
244,Vlatko Cancar,DEN,25,46,37,48.0,0.8,2.0,41.5,60.6,3.1,0.1,0.1,53.8,44.9,0.8,1.9,40.8
245,Jonathan Kuminga,GSW,20,48,40,30.4,0.7,2.0,34.7,50.0,2.5,0.1,0.2,47.1,28.0,0.6,1.9,33.5
246,Austin Rivers,MIN,30,47,40,48.5,0.7,2.0,36.8,55.3,0.0,0.0,0.0,-,48.5,0.7,2.0,36.6
247,Rudy Gay,UTA,36,46,44,41.9,0.5,2.0,26.9,37.6,3.2,0.1,0.1,73.3,38.7,0.4,1.9,23.0
248,Jae Crowder,MIL,32,1,1,40.0,2.0,2.0,100.0,150.0,0.0,0.0,0.0,-,40.0,2.0,2.0,100
249,Joe Wieskamp,TOR,23,2,2,80.0,1.5,2.0,75.0,112.5,0.0,0.0,0.0,-,80.0,1.5,2.0,75.0
250,Markieff Morris,DAL,33,27,18,65.9,0.8,2.0,40.7,58.3,7.3,0.1,0.2,50.0,58.5,0.7,1.8,39.3
251,Alex Caruso,CHI,28,49,41,47.3,0.8,2.0,39.8,58.7,1.9,0.0,0.1,50.0,45.4,0.8,1.9,39.6
252,Otto Porter Jr.,TOR,29,8,8,53.3,0.8,2.0,37.5,56.3,0.0,0.0,0.0,-,53.3,0.8,2.0,37.5
253,Draymond Green,GSW,32,52,46,31.9,0.7,2.0,32.7,47.1,3.7,0.1,0.2,34.8,28.2,0.6,1.8,32.8
254,Tre Jones,SAS,23,51,44,17.5,0.6,2.0,30.7,45.5,0.3,0.0,0.0,50.0,17.1,0.6,1.9,30.4
255,Jrue Holiday,MIL,32,48,42,12.1,0.9,1.9,45.7,67.4,0.7,0.0,0.1,40.0,11.4,0.8,1.8,45.9
256,Jonathan Isaac,ORL,25,11,9,39.6,0.9,1.9,47.6,61.9,13.2,0.4,0.6,56.3,26.4,0.6,1.3,43.3
