,Player,Team,Age,Restricted Area_FGM,Restricted Area_FGA,Restricted Area_FG%,In The Paint (Non-RA)_FGM,In The Paint (Non-RA)_FGA,In The Paint (Non-RA)_FG%,Mid-Range_FGM,Mid-Range_FGA,Mid-Range_FG%,Left Corner 3._FGM,Left Corner 3._FGA,Left Corner 3._FG%,Right Corner 3._FGM,Right Corner 3._FGA,Right Corner 3._FG%,Corner 3_FGM,Corner 3_FGA,Corner 3_FG%,Above the Break 3._FGM,Above the Break 3._FGA,Above the Break 3._FG%
70,Chris Silva,DAL,26,0.0,0.0,0.0,1.0,1.0,100,0.0,0.0,0.0,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,Christian Braun,DEN,21,1.1,1.6,67.1,0.1,0.5,25.9,0.0,0.2,18.2,0.2,0.3,53.3,0.0,0.2,0.0,0.2,0.5,34.8,0.3,0.7,38.2
72,Christian Koloko,TOR,22,1.2,2.1,57.3,0.0,0.3,13.3,0.1,0.1,60.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.1,25.0,0.0,0.1,0.0
73,Christian Wood,DAL,27,3.1,4.4,69.7,1.3,2.2,60.0,0.4,1.1,36.7,0.1,0.3,38.5,0.1,0.5,28.6,0.3,0.8,32.4,1.4,3.7,38.4
74,Chuma Okeke,ORL,24,0.7,1.0,66.7,0.1,0.3,40.0,0.0,0.3,0.0,0.1,0.4,25.0,0.2,0.3,60.0,0.3,0.7,38.5,0.7,2.6,28.3
75,Clint Capela,ATL,28,4.8,7.0,67.9,0.6,1.5,39.7,0.0,0.1,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,Coby White,CHI,22,0.9,1.5,60.6,0.3,0.7,48.5,0.2,0.6,29.6,0.2,0.6,31.0,0.1,0.2,50.0,0.3,0.8,35.9,1.3,3.7,35.5
77,Cody Martin,CHA,27,1.3,2.3,57.1,0.1,0.3,50.0,0.3,0.9,33.3,0.1,0.4,33.3,0.3,0.5,66.7,0.4,0.9,50.0,0.0,1.1,0.0
78,Cole Anthony,ORL,22,1.3,2.1,62.8,1.1,2.3,47.7,0.8,1.9,40.8,0.1,0.2,50.0,0.0,0.1,0.0,0.1,0.3,36.4,1.0,3.0,32.7
79,Cole Swider,LAL,23,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.5,0.5,100,0.0,0.0,0.0,0.3,0.3,100,0.2,1.0,16.7
80,Collin Sexton,UTA,24,1.9,3.3,57.4,1.5,3.0,49.2,0.4,0.8,51.4,0.1,0.3,46.2,0.1,0.2,60.0,0.3,0.5,52.2,0.8,2.0,41.2
81,Corey Kispert,WAS,23,1.1,1.5,73.2,0.3,0.7,35.3,0.0,0.2,20.0,0.3,0.7,50.0,0.2,0.5,43.5,0.5,1.2,47.2,1.3,3.3,39.5
82,Cory Joseph,DET,31,0.4,0.6,62.5,0.3,1.0,33.3,0.3,0.8,41.4,0.0,0.1,25.0,0.0,0.3,11.1,0.1,0.4,15.4,0.5,1.5,35.7
83,D'Angelo Russell,LAL,26,1.4,2.1,70.3,0.8,2.0,42.5,1.3,2.5,51.1,0.2,0.5,41.4,0.1,0.3,23.5,0.3,0.9,34.8,2.4,6.1,39.6
84,Daishen Nix,HOU,20,0.4,0.7,51.9,0.1,0.5,25.0,0.0,0.1,33.3,0.0,0.1,20.0,0.1,0.4,25.0,0.1,0.4,23.5,0.6,1.8,32.9
85,Dalano Banton,TOR,23,1.1,1.4,78.8,0.1,0.7,18.8,0.1,0.5,16.7,0.1,0.3,16.7,0.1,0.3,33.3,0.1,0.5,25.0,0.4,1.3,32.3
86,Dalen Terry,CHI,20,0.3,0.6,50.0,0.0,0.1,0.0,0.1,0.1,100.0,0.0,0.0,0.0,0.1,0.2,50.0,0.1,0.1,50.0,0.0,0.2,0.0
87,Damian Jones,UTA,27,1.1,1.8,64.3,0.1,0.3,20.0,0.1,0.1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
88,Damian Lillard,POR,32,3.5,5.4,64.8,0.8,1.7,45.2,1.0,2.0,49.4,0.1,0.4,27.8,0.2,0.3,64.3,0.3,0.7,43.8,3.7,10.1,36.2
89,Damion Lee,PHX,30,0.5,0.9,51.9,0.4,1.1,35.5,0.4,0.8,41.7,0.5,0.8,65.1,0.3,0.8,39.5,0.8,1.5,52.3,0.9,2.2,40.9
90,Daniel Gafford,WAS,24,2.5,3.1,81.5,0.8,1.4,58.3,0.1,0.1,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,Daniel Theis,IND,30,1.5,2.3,66.7,0.8,1.0,75.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0,25.0
92,Danny Green,HOU,35,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.3,1.3,25.0,0.3,1.3,25.0,0.7,1.3,50.0
93,Danuel House Jr.,PHI,29,0.7,0.9,78.1,0.1,0.3,55.6,0.0,0.2,14.3,0.1,0.4,23.1,0.2,0.6,35.3,0.3,0.9,30.0,0.4,1.1,37.5
94,Dario Saric,OKC,28,0.8,1.3,63.8,0.5,1.2,40.0,0.0,0.5,5.9,0.1,0.3,37.5,0.2,0.5,42.9,0.3,0.7,40.9,0.5,1.3,38.3
95,Darius Bazley,PHX,22,1.2,2.4,51.8,0.2,0.5,33.3,0.1,0.3,30.0,0.1,0.3,33.3,0.2,0.2,62.5,0.2,0.5,47.1,0.3,0.8,35.7
96,Darius Days,HOU,23,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,Darius Garland,CLE,23,1.6,3.0,52.1,2.0,4.0,49.2,1.4,3.1,45.6,0.0,0.1,28.6,0.3,0.4,60.0,0.3,0.6,51.9,2.3,5.7,40.4
98,David Duke Jr.,BKN,23,1.4,2.4,55.9,0.1,0.3,40.0,0.0,0.1,0.0,0.0,0.3,0.0,0.0,0.1,0.0,0.0,0.3,0.0,0.0,0.2,0.0
99,David Roddy,MEM,21,1.2,1.8,66.3,0.4,1.0,36.4,0.0,0.2,28.6,0.3,0.8,35.3,0.2,0.7,25.9,0.4,1.4,31.1,0.4,1.6,26.8
100,Davion Mitchell,SAC,24,1.0,1.5,65.4,0.3,0.6,51.6,0.2,0.6,39.4,0.1,0.3,26.7,0.1,0.3,33.3,0.2,0.6,30.0,0.6,1.8,34.7
101,Davis Bertans,DAL,30,0.2,0.3,63.6,0.0,0.0,100,0.1,0.1,100.0,0.4,0.6,73.3,0.1,0.4,30.0,0.5,0.8,56.0,0.7,2.1,32.4
102,Davon Reed,LAL,27,0.1,0.2,37.5,0.1,0.5,13.3,0.1,0.4,30.8,0.1,0.4,20.0,0.2,0.2,75.0,0.2,0.5,35.7,0.3,0.9,36.7
103,Day'Ron Sharpe,BKN,21,1.4,2.4,56.3,0.1,0.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,80.0
104,De'Aaron Fox,SAC,25,2.7,3.7,73.9,3.1,5.9,52.4,1.8,3.8,46.0,0.1,0.4,31.8,0.1,0.2,25.0,0.2,0.7,29.4,1.3,4.0,33.7
