,Player,Team,Age,Less than 5ft._FGM,Less than 5ft._FGA,Less than 5ft._FG%,5-9 ft._FGM,5-9 ft._FGA,5-9 ft._FG%,10-14 ft._FGM,10-14 ft._FGA,10-14 ft._FG%,15-19 ft._FGM,15-19 ft._FGA,15-19 ft._FG%,20-24 ft._FGM,20-24 ft._FGA,20-24 ft._FG%,25-29 ft._FGM,25-29 ft._FGA,25-29 ft._FG%
134,Doug McDermott,SAS,31,1.2,1.9,62.0,0.4,0.8,44.4,0.2,0.4,42.9,0.0,0.2,9.1,0.6,1.5,42.3,1.2,3.0,41.0
135,Draymond Green,GSW,32,1.9,2.9,67.1,0.6,1.2,47.6,0.1,0.2,38.5,0.0,0.0,50.0,0.3,0.8,38.6,0.3,1.1,28.1
136,Drew Eubanks,POR,26,1.9,2.4,78.3,0.4,0.8,51.2,0.1,0.3,37.5,0.1,0.1,50.0,0.1,0.1,60.0,0.0,0.0,50.0
137,Dru Smith,BKN,25,0.6,0.7,80.0,0.3,0.5,50.0,0.3,0.4,66.7,0.0,0.0,0.0,0.1,0.6,20.0,0.1,0.8,16.7
138,Duane Washington Jr.,PHX,22,0.7,1.7,39.2,0.4,1.0,36.7,0.4,1.0,37.9,0.3,0.9,32.0,0.6,1.6,40.0,0.8,2.3,35.2
139,Duncan Robinson,MIA,28,0.3,0.5,71.4,0.1,0.4,36.4,0.1,0.1,50.0,0.1,0.2,40.0,0.5,1.5,29.8,1.1,3.4,32.1
140,Dwight Powell,DAL,31,2.5,3.4,75.1,0.1,0.1,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,33.3,0.0,0.0,0.0
141,Dyson Daniels,NOP,19,1.0,1.6,60.9,0.2,0.6,36.4,0.1,0.2,28.6,0.0,0.0,0.0,0.3,0.7,44.4,0.2,0.8,25.0
142,Edmond Sumner,BKN,27,1.5,2.6,57.6,0.1,0.5,26.1,0.1,0.3,25.0,0.1,0.2,62.5,0.5,1.2,37.0,0.2,0.7,36.7
143,Eric Gordon,LAC,34,1.9,3.1,61.7,0.5,1.2,39.3,0.1,0.4,33.3,0.0,0.1,33.3,0.3,0.6,40.6,1.4,4.0,33.7
144,Eugene Omoruyi,OKC,26,1.6,2.6,61.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.9,28.6,0.1,0.5,18.2
145,Evan Fournier,NYK,30,0.3,0.7,41.2,0.2,0.4,55.6,0.2,0.7,33.3,0.1,0.3,42.9,0.8,1.9,40.9,0.7,2.5,25.9
146,Evan Mobley,CLE,21,4.4,5.8,76.2,1.1,2.8,38.6,0.6,1.4,39.1,0.2,0.5,43.3,0.1,0.6,13.9,0.2,0.7,27.3
147,Facundo Campazzo,DAL,31,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.6,50.0,0.2,1.4,14.3
148,Frank Kaminsky,HOU,29,0.3,0.4,66.7,0.1,0.3,50.0,0.1,0.2,33.3,0.0,0.0,100,0.2,0.3,62.5,0.3,0.8,36.8
149,Frank Ntilikina,DAL,24,0.3,0.6,47.8,0.0,0.1,20.0,0.1,0.2,50.0,0.2,0.2,83.3,0.2,0.9,23.3,0.2,0.8,25.9
150,Franz Wagner,ORL,21,4.0,6.2,64.1,0.7,2.2,32.3,0.4,0.8,42.9,0.2,0.3,47.4,0.5,1.3,41.6,1.2,3.2,36.1
151,Fred VanVleet,TOR,29,1.7,3.2,52.8,0.4,1.1,32.7,0.4,1.2,35.0,0.8,1.7,43.7,0.9,2.1,41.3,2.2,6.3,35.4
152,Furkan Korkmaz,PHI,25,0.6,1.0,60.0,0.0,0.4,11.1,0.1,0.2,66.7,0.1,0.2,33.3,0.3,0.7,42.9,0.3,0.9,30.4
153,Gabe Vincent,MIA,26,0.7,1.2,56.4,0.3,0.8,43.2,0.3,0.5,56.0,0.3,0.6,51.9,0.7,2.0,37.2,1.0,3.4,30.0
154,Garrett Temple,NOP,36,0.3,0.6,50.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.6,36.4,0.3,0.6,45.5
155,Garrison Mathews,ATL,26,0.1,0.2,54.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.1,41.2,0.7,2.2,32.0
156,Gary Harris,ORL,28,0.9,1.5,60.4,0.1,0.3,37.5,0.0,0.1,0.0,0.1,0.2,33.3,1.2,2.3,50.7,0.8,2.0,37.5
157,Gary Payton II,GSW,30,1.0,1.5,68.2,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.5,0.9,50.0,0.1,0.2,66.7
158,Gary Trent Jr.,TOR,24,1.7,2.5,65.6,0.7,1.3,50.0,0.7,1.4,47.9,0.7,1.8,40.9,0.9,2.8,34.3,1.9,5.1,36.6
159,George Hill,IND,36,0.6,0.9,68.8,0.1,0.3,22.2,0.1,0.1,60.0,0.2,0.3,88.9,0.3,1.0,34.3,0.3,1.1,31.6
160,Georges Niang,PHI,29,0.7,1.1,65.6,0.1,0.3,38.9,0.1,0.1,37.5,0.0,0.0,50.0,0.6,1.5,40.9,1.5,3.7,40.2
161,Giannis Antetokounmpo,MIL,28,8.8,12.4,70.6,0.3,1.6,18.7,0.4,1.3,28.1,0.9,2.3,37.8,0.1,0.4,23.5,0.7,2.6,27.8
162,Goga Bitadze,ORL,23,1.0,1.5,66.7,0.1,0.2,50.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,50.0,0.2,0.6,30.8
163,Goran Dragic,CHI,36,0.8,1.4,56.3,0.2,0.5,40.0,0.3,0.9,35.4,0.3,0.5,56.0,0.4,1.0,34.0,0.5,1.5,37.3
164,Gordon Hayward,CHA,32,1.7,2.4,69.8,0.8,1.7,48.4,0.9,1.9,46.3,0.8,1.8,43.9,0.6,1.3,46.7,0.6,2.4,27.1
165,Gorgui Dieng,SAS,33,0.4,0.5,80.0,0.0,0.1,0.0,0.1,0.3,40.0,0.1,0.1,100,0.2,0.5,33.3,0.5,1.7,26.5
166,Grant Williams,BOS,24,0.9,1.4,62.2,0.4,0.8,48.9,0.1,0.3,36.8,0.0,0.1,25.0,0.8,1.8,44.5,0.7,1.8,38.0
167,Grayson Allen,MIL,27,1.1,2.0,57.4,0.1,0.4,25.0,0.2,0.4,45.8,0.0,0.0,0.0,0.6,1.4,43.4,1.3,3.3,39.8
168,Greg Brown III,POR,21,0.7,1.2,55.6,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.4,20.0,0.0,0.2,0.0
169,Hamidou Diallo,DET,24,2.6,3.6,71.5,0.4,1.0,37.7,0.3,0.7,44.7,0.2,0.5,38.5,0.1,0.3,40.0,0.0,0.1,20.0
170,Harrison Barnes,SAC,30,2.1,3.3,63.5,0.5,1.3,38.7,0.2,0.4,42.3,0.1,0.1,57.1,0.8,2.1,39.0,0.8,2.3,35.6
171,Haywood Highsmith,MIA,26,0.8,1.2,63.5,0.1,0.4,29.4,0.1,0.3,33.3,0.0,0.1,33.3,0.5,1.4,37.1,0.4,1.0,34.9
172,Herbert Jones,NOP,24,2.4,3.8,62.2,0.2,0.7,24.2,0.0,0.2,28.6,0.0,0.0,0.0,0.5,1.9,25.6,0.3,0.9,29.3
173,Immanuel Quickley,NYK,23,1.2,1.8,64.0,0.8,1.6,50.5,0.6,1.2,47.9,0.1,0.4,36.0,0.7,2.4,29.3,1.1,2.8,40.5
