,PLAYER,TEAM,GP,W,L,MIN,PTS,Drive PTS,Drive FG%,C&S PTS,C&S FG%,Pull Up PTS,Pull Up FG%,Paint Touch PTS,Paint Touch FG%,Post Touch PTS,Post Touch FG%,Elbow Touch PTS,Elbow Touch FG%,eFG%
363,Myles Turner,IND,50,23,27,29.8,17.5,2.0,62.1,4.9,38.9,0.6,31.6,7.0,66.8,1.7,55.4,2.3,51.7,60.2
364,Naji Marshall,NOP,54,28,26,24.9,9.7,3.8,47.5,3.0,34.0,0.8,31.7,0.7,54.8,0.1,100.0,0.3,75.0,49.1
365,Nassir Little,POR,37,19,18,16.7,5.9,1.3,46.3,2.5,37.8,1.3,47.6,0.5,58.3,0.0,0.0,0.2,66.7,57.5
366,Nathan Knight,MIN,33,16,17,8.1,3.8,1.1,66.7,0.6,38.9,0.1,25.0,0.9,52.4,0.1,33.3,0.3,80.0,62.2
367,Naz Reid,MIN,52,25,27,17.8,10.3,2.0,62.9,2.8,34.3,0.2,19.0,2.6,68.9,0.5,45.5,1.3,61.4,59.7
368,Neemias Queta,SAC,4,1,3,6.1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,71.4,0.0,0.0,0.5,100.0,75.0
369,Nerlens Noel,DET,14,2,12,10.8,2.3,0.1,0.0,0.8,41.7,0.1,25.0,0.8,29.4,0.0,0.0,0.1,10.0,41.7
370,Nic Claxton,BKN,54,30,24,29.5,12.8,1.5,59.3,0.0,0.0,0.1,66.7,8.6,77.2,0.1,22.2,1.6,62.3,72.2
371,Nick Richards,CHA,45,12,33,17.3,8.0,0.2,66.7,0.1,42.9,0.0,0.0,5.6,61.9,0.3,35.3,1.0,56.7,61.9
372,Nickeil Alexander-Walker,MIN,37,18,19,14.3,6.2,1.8,49.0,1.9,41.8,1.6,42.1,0.2,75.0,0.0,0.0,0.1,33.3,58.8
373,Nicolas Batum,LAC,56,32,24,21.7,6.0,0.1,50.0,4.3,36.9,0.4,50.0,0.7,58.6,0.0,0.0,0.1,100.0,56.4
374,Nikola Jokic,DEN,51,38,13,33.6,24.7,3.0,69.9,3.9,48.5,1.4,52.5,8.5,69.8,5.2,65.6,5.5,69.1,66.1
375,Nikola Jovic,MIA,15,7,8,13.6,5.5,0.0,0.0,2.0,26.8,0.0,0.0,1.5,66.7,0.0,0.0,1.2,85.7,46.4
376,Nikola Vucevic,CHI,57,25,32,34.0,17.8,1.2,60.0,7.1,40.3,0.7,35.1,5.9,72.8,2.8,52.9,2.2,64.5,58.1
377,Noah Vonleh,BOS,23,17,6,7.5,1.1,0.3,50.0,0.1,33.3,0.1,33.3,0.7,57.1,0.0,0.0,0.0,0.0,47.9
378,Norman Powell,LAC,50,27,23,25.8,17.0,5.5,55.0,4.4,43.1,3.2,41.0,0.6,60.0,0.0,0.0,0.2,22.2,57.3
379,O.G. Anunoby,TOR,45,21,24,35.8,16.9,3.7,40.0,5.4,38.6,1.7,31.5,2.5,65.8,0.5,42.9,0.6,66.7,52.7
380,Obi Toppin,NYK,45,23,22,14.9,6.4,0.4,39.1,3.4,36.6,0.3,25.0,1.4,51.9,0.0,25.0,0.2,66.7,52.0
381,Ochai Agbaji,UTA,37,21,16,15.1,4.6,0.5,50.0,2.4,40.0,0.1,28.6,0.7,72.2,0.0,0.0,0.2,100.0,61.2
382,Onyeka Okongwu,ATL,57,29,28,23.9,9.3,0.4,50.0,0.8,45.1,0.1,33.3,6.4,71.0,0.4,56.3,2.2,58.4,63.2
383,Orlando Robinson,MIA,29,17,12,13.7,3.9,0.1,100.0,0.0,0.0,0.0,0.0,2.8,57.1,0.1,33.3,0.7,47.4,53.5
384,Oshae Brissett,IND,49,21,28,16.0,5.5,1.3,37.0,2.3,33.3,0.2,25.0,0.9,60.0,0.0,0.0,0.3,54.5,47.7
385,Otto Porter Jr.,TOR,8,4,4,18.3,5.5,0.0,0.0,2.3,37.5,0.5,33.3,2.0,100.0,0.5,100.0,0.0,0.0,60.0
386,Ousmane Dieng,OKC,19,8,11,15.0,4.2,0.2,18.2,2.1,31.0,0.0,0.0,0.9,72.7,0.0,0.0,0.6,100.0,50.0
387,P.J. Tucker,PHI,55,36,19,25.7,3.4,0.0,33.3,2.2,42.9,0.0,0.0,0.8,47.7,0.0,0.0,0.1,57.1,54.7
388,P.J. Washington,CHA,59,17,42,32.9,15.2,3.1,44.7,5.1,34.3,2.0,37.0,2.4,63.4,0.7,45.0,1.6,55.1,52.0
389,PJ Dozier,SAC,4,4,0,2.6,1.3,0.0,0.0,0.0,0.0,0.8,100.0,0.0,0.0,0.0,0.0,0.5,100.0,83.3
390,Paolo Banchero,ORL,52,21,31,33.7,19.9,6.2,43.8,2.1,28.8,4.4,34.6,2.3,63.9,0.9,38.0,0.8,48.1,45.7
391,Pascal Siakam,TOR,49,23,26,37.7,25.2,9.0,46.8,3.5,33.5,5.6,42.5,3.4,67.6,2.1,60.3,1.0,51.3,51.9
392,Pat Connaughton,MIL,41,28,13,25.4,8.5,1.0,48.6,5.7,34.5,0.6,50.0,0.9,53.1,0.0,0.0,0.1,75.0,53.0
393,Patrick Baldwin Jr.,GSW,16,5,11,8.1,5.0,0.6,37.5,3.8,42.6,0.4,28.6,0.0,0.0,0.0,0.0,0.0,0.0,61.3
394,Patrick Beverley,LAL,45,21,24,26.9,6.4,1.7,50.0,3.0,32.8,1.0,50.0,0.4,58.3,0.0,0.0,0.2,57.1,51.7
395,Patrick Williams,CHI,57,25,32,29.0,10.0,1.2,40.8,4.0,39.3,1.5,38.2,1.9,69.0,0.2,38.5,0.5,45.8,53.2
396,Patty Mills,BKN,36,18,18,13.3,5.8,0.8,61.9,2.8,35.9,1.5,40.7,0.1,50.0,0.0,0.0,0.1,33.3,53.1
397,Paul George,LAC,43,26,17,34.2,23.2,5.7,50.9,4.8,39.1,8.3,41.0,1.2,78.6,0.6,45.8,0.9,47.2,54.4
398,Paul Reed,PHI,44,28,16,9.6,3.1,0.1,42.9,0.0,10.0,0.0,33.3,2.3,67.7,0.0,0.0,0.5,58.8,58.3
399,Payton Pritchard,BOS,42,30,12,12.8,4.9,0.6,34.4,2.4,38.6,0.9,28.8,0.5,90.9,0.0,0.0,0.1,75.0,51.0
400,Peyton Watson,DEN,12,8,4,3.2,1.6,0.8,71.4,0.3,50.0,0.2,33.3,0.0,0.0,0.0,0.0,0.2,100.0,55.9
