,Player,Team,GP,W,L,MIN,PTS,TOUCHES,Front CT Touches,Time Of Poss,Avg Sec Per Touch,Avg Drib Per Touch,PTS Per Touch,Elbow Touches,Post Ups,Paint Touches,PTS Per Elbow Touch,PTS Per Post Touch,PTS Per Paint Touch
131,Donovan Mitchell,CLE,52,33,19,35.5,27.0,68.7,32.2,5.8,5.05,4.56,0.394,0.9,0.0,1.0,0.978,0.0,0.962
132,Donte DiVincenzo,GSW,49,27,22,25.4,8.7,47.4,22.7,2.1,2.69,2.11,0.184,0.7,0.0,1.3,0.344,0.0,0.585
133,Dorian Finney-Smith,BKN,45,21,24,31.8,8.7,39.4,23.1,1.0,1.54,0.63,0.221,0.6,0.0,2.0,0.393,0.0,0.753
134,Doug McDermott,SAS,52,14,38,20.5,9.7,27.7,20.0,0.8,1.67,0.79,0.35,0.2,0.0,0.9,1.25,2.0,1.0
135,Draymond Green,GSW,52,27,25,31.6,8.2,73.3,40.2,2.2,1.84,0.91,0.111,2.8,1.1,2.7,0.462,0.107,0.596
136,Drew Eubanks,POR,57,26,31,19.6,6.0,26.0,14.3,0.7,1.62,0.45,0.229,2.1,0.3,4.0,0.625,0.526,0.863
137,Dru Smith,BKN,8,4,4,12.1,2.8,20.5,6.9,1.5,4.48,4.53,0.134,0.3,0.0,0.5,1.0,0.0,0.5
138,Duane Washington Jr.,PHX,31,17,14,12.7,7.9,30.0,12.2,2.5,5.0,4.68,0.263,0.1,0.0,0.1,0.0,0.0,0.0
139,Duncan Robinson,MIA,31,14,17,17.7,6.5,24.7,17.4,0.7,1.71,0.8,0.265,0.2,0.0,0.4,0.833,0.0,1.0
140,Dwight Powell,DAL,56,31,25,19.8,6.9,25.1,13.8,0.6,1.53,0.52,0.273,2.0,0.1,5.8,0.446,0.857,0.954
141,Dyson Daniels,NOP,40,21,19,19.5,4.4,29.9,14.6,1.5,2.96,2.2,0.147,0.2,0.0,0.9,0.333,0.0,0.757
142,Edmond Sumner,BKN,46,28,18,14.5,7.4,24.6,11.4,1.6,3.96,3.48,0.302,0.2,0.0,0.6,0.727,0.0,1.069
143,Eric Gordon,LAC,50,14,36,29.7,12.9,41.3,24.8,2.5,3.67,3.14,0.312,0.2,0.0,0.4,0.333,2.0,1.158
144,Eugene Omoruyi,OKC,23,9,14,11.8,4.9,13.8,9.0,0.3,1.44,0.63,0.355,0.5,0.0,2.3,0.417,0.0,0.833
145,Evan Fournier,NYK,23,13,10,18.0,6.8,23.6,16.7,1.0,2.46,1.83,0.29,0.0,0.0,0.2,0.0,0.0,1.0
146,Evan Mobley,CLE,61,36,25,34.2,15.9,58.5,30.5,1.9,1.98,0.77,0.272,4.2,2.1,8.2,0.621,0.578,0.946
147,Facundo Campazzo,DAL,8,2,6,6.5,1.3,14.9,7.4,0.9,3.57,3.26,0.084,0.0,0.0,0.1,0.0,0.0,0.0
148,Frank Kaminsky,HOU,29,11,18,6.9,2.7,14.1,8.8,0.4,1.77,0.7,0.188,0.3,0.2,0.9,0.25,1.0,0.72
149,Frank Ntilikina,DAL,37,18,19,12.2,2.5,16.8,7.8,0.8,3.03,2.47,0.15,0.1,0.0,0.2,0.0,0.0,0.286
150,Franz Wagner,ORL,60,24,36,33.1,19.0,54.5,32.8,3.4,3.76,3.15,0.348,0.7,0.3,2.0,0.727,0.684,0.943
151,Fred VanVleet,TOR,50,24,26,36.9,19.7,84.4,37.3,6.3,4.5,4.1,0.233,0.2,0.0,0.3,0.75,1.0,0.923
152,Furkan Korkmaz,PHI,25,17,8,10.2,3.8,15.3,10.4,0.7,2.73,2.1,0.249,0.2,0.0,0.4,1.0,0.0,1.333
153,Gabe Vincent,MIA,47,25,22,26.2,9.7,44.0,21.0,2.9,3.92,3.22,0.221,0.2,0.0,0.4,0.6,1.0,0.8
154,Garrett Temple,NOP,19,11,8,7.0,2.2,9.2,5.5,0.3,1.93,1.28,0.241,0.1,0.0,0.2,0.0,0.0,0.667
155,Garrison Mathews,ATL,47,13,34,12.9,4.6,14.0,9.1,0.3,1.33,0.41,0.329,0.1,0.0,0.1,0.0,0.0,1.167
156,Gary Harris,ORL,32,13,19,24.7,8.7,21.7,15.9,0.8,2.16,1.59,0.399,0.1,0.0,0.6,0.667,0.0,0.8
157,Gary Payton II,GSW,15,8,7,17.0,4.1,23.0,12.5,0.6,1.67,0.72,0.177,0.7,0.1,1.8,0.2,1.0,0.741
158,Gary Trent Jr.,TOR,52,25,27,33.8,18.6,40.5,31.7,1.6,2.42,1.85,0.46,0.4,0.0,0.6,1.087,0.0,1.091
159,George Hill,IND,36,24,12,18.8,4.9,33.1,12.9,2.5,4.47,3.97,0.147,0.3,0.0,0.6,0.417,0.0,0.5
160,Georges Niang,PHI,57,38,19,19.6,8.6,29.8,16.1,0.7,1.33,0.46,0.288,0.1,0.0,0.4,0.4,0.0,1.292
161,Giannis Antetokounmpo,MIL,48,36,12,32.5,31.3,79.6,37.3,5.4,4.05,2.98,0.393,4.2,4.6,5.0,0.547,0.459,1.091
162,Goga Bitadze,ORL,22,8,14,9.6,3.4,14.7,9.6,0.4,1.48,0.57,0.232,0.8,0.3,2.9,0.5,0.429,0.683
163,Goran Dragic,CHI,50,22,28,15.5,6.5,34.4,13.5,2.4,4.19,3.65,0.188,0.1,0.1,0.2,1.0,0.75,0.8
164,Gordon Hayward,CHA,36,14,22,31.2,14.5,47.9,34.8,2.3,2.85,1.89,0.302,1.6,0.5,2.1,0.638,0.353,0.803
165,Gorgui Dieng,SAS,21,2,19,9.6,3.1,17.6,12.7,0.5,1.83,0.62,0.176,0.7,0.3,1.3,0.133,0.0,0.643
166,Grant Williams,BOS,60,44,16,27.5,8.6,31.7,17.2,0.9,1.77,0.76,0.27,0.6,0.1,1.7,0.343,0.333,0.716
167,Grayson Allen,MIL,55,40,15,27.6,10.6,36.4,24.4,1.5,2.46,1.49,0.291,0.3,0.0,0.8,0.526,0.0,0.533
168,Greg Brown III,POR,16,10,6,5.8,1.8,5.3,3.4,0.2,2.31,1.33,0.329,0.1,0.0,0.3,2.0,0.0,0.8
169,Hamidou Diallo,DET,51,12,39,16.8,8.6,25.9,12.5,1.0,2.35,1.69,0.333,1.1,0.1,1.9,1.182,0.0,1.222
170,Harrison Barnes,SAC,59,34,25,32.6,14.8,47.4,30.1,1.7,2.15,1.1,0.313,0.7,0.7,2.0,0.857,1.026,1.026
171,Haywood Highsmith,MIA,44,23,21,19.4,4.8,21.4,12.4,0.6,1.69,0.89,0.222,0.6,0.0,2.0,0.25,0.0,0.506
