,PLAYER,TEAM,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,eFG%
464,Tre Mann,OKC,49,23,26,18.5,3.7,1.5,4.0,36.9,0.8,2.6,30.7,46.9
465,Trendon Watford,POR,39,20,19,16.2,0.3,0.1,0.3,38.5,0.0,0.0,0.0,38.5
466,Trent Forrest,ATL,18,6,12,13.3,0.8,0.4,0.7,53.8,0.0,0.1,0.0,53.8
467,Trevelin Queen,IND,7,2,5,10.0,0.4,0.1,1.6,9.1,0.1,1.4,10.0,13.6
468,Trevor Hudgins,HOU,2,0,2,4.8,0.0,0.0,0.0,-,0.0,0.0,-,-
469,Trevor Keels,NYK,1,1,0,1.0,0.0,0.0,0.0,-,0.0,0.0,-,-
470,Trey Lyles,SAC,48,28,20,15.9,0.2,0.1,0.3,20.0,0.1,0.3,25.0,30.0
471,Trey Murphy III,NOP,53,26,27,29.4,0.8,0.3,0.9,34.8,0.2,0.5,40.0,45.7
472,Troy Brown Jr.,LAL,50,22,28,24.4,0.8,0.3,0.9,36.2,0.2,0.4,38.1,44.7
473,Ty Jerome,GSW,33,14,19,17.8,2.1,0.9,1.8,50.8,0.2,0.5,50.0,57.6
474,TyTy Washington Jr.,HOU,20,3,17,11.5,2.1,1.0,2.3,41.3,0.2,0.7,21.4,44.6
475,Tyler Dorsey,DAL,3,2,1,2.8,2.0,1.0,1.0,100,0.0,0.0,-,100
476,Tyler Herro,MIA,43,23,20,35.1,8.4,3.4,8.6,39.3,1.7,4.2,39.0,48.9
477,Tyrese Haliburton,IND,44,23,21,33.5,8.3,3.1,7.5,41.0,2.1,5.5,39.2,55.3
478,Tyrese Martin,ATL,12,7,5,3.6,0.4,0.2,0.3,50.0,0.1,0.1,100,62.5
479,Tyrese Maxey,PHI,34,21,13,32.8,5.2,2.3,5.8,38.9,0.7,2.2,31.6,44.9
480,Tyus Jones,MEM,54,33,21,23.5,3.7,1.6,3.8,43.0,0.4,1.0,35.7,47.8
481,Udoka Azubuike,UTA,20,11,9,4.7,0.0,0.0,0.0,-,-,-,-,-
482,Udonis Haslem,MIA,6,3,3,7.9,0.0,0.0,0.2,0.0,0.0,0.0,-,0.0
483,Usman Garuba,HOU,48,12,36,13.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
484,Vernon Carey Jr.,WAS,9,6,3,2.6,0.0,0.0,0.0,-,-,-,-,-
485,Victor Oladipo,MIA,26,17,9,28.4,3.5,1.5,3.9,37.6,0.5,1.8,29.2,44.6
486,Vince Williams Jr.,MEM,9,5,4,5.4,0.0,0.0,0.0,-,0.0,0.0,-,-
487,Vit Krejci,ATL,20,10,10,5.8,0.4,0.2,0.3,60.0,0.1,0.2,50.0,80.0
488,Vlatko Cancar,DEN,41,27,14,15.3,0.3,0.1,0.3,30.8,0.1,0.2,42.9,42.3
489,Walker Kessler,UTA,53,25,28,20.6,0.0,0.0,0.0,-,-,-,-,-
490,Wendell Carter Jr.,ORL,36,15,21,30.0,1.2,0.6,1.3,44.7,0.0,0.1,33.3,45.7
491,Wendell Moore Jr.,MIN,23,13,10,6.0,0.1,0.0,0.2,25.0,0.0,0.1,50.0,37.5
492,Wenyen Gabriel,LAL,43,20,23,15.7,0.1,0.0,0.0,50.0,0.0,0.0,50.0,75.0
493,Wesley Matthews,MIL,36,26,10,15.5,0.4,0.2,0.4,40.0,0.1,0.3,40.0,53.3
494,Will Barton,WAS,40,18,22,19.6,2.3,0.9,2.7,34.3,0.5,1.5,30.0,42.6
495,Willy Hernangomez,NOP,28,16,12,12.7,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
496,Xavier Tillman,MEM,35,22,13,14.2,0.2,0.1,0.2,66.7,0.0,0.0,0.0,66.7
497,Yuta Watanabe,BKN,41,23,18,18.6,0.1,0.1,0.3,21.4,0.0,0.0,0.0,21.4
498,Zach Collins,SAS,44,13,31,20.3,0.1,0.0,0.3,18.2,0.0,0.1,0.0,18.2
499,Zach LaVine,CHI,51,25,26,35.9,6.7,2.7,7.5,36.5,1.2,3.8,31.6,44.6
500,Zeke Nnaji,DEN,44,29,15,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
501,Ziaire Williams,MEM,27,15,12,17.9,1.4,0.6,1.3,45.7,0.2,0.5,46.2,54.3
502,Zion Williamson,NOP,29,17,12,33.0,0.5,0.2,0.8,31.8,0.0,0.1,25.0,34.1
