,PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,eFG%
426,Saddiq Bey,ATL,52,28.8,4.3,1.5,3.9,37.3,1.4,3.8,37.2,55.4
427,Sam Hauser,BOS,55,15.3,4.9,1.6,3.8,43.3,1.6,3.7,43.4,64.7
428,Sandro Mamukelashvili,MIL,23,8.6,0.9,0.3,1.3,24.1,0.3,1.2,25.0,36.2
429,Santi Aldama,MEM,53,22.1,3.9,1.3,3.5,37.8,1.3,3.5,36.6,55.6
430,Scottie Barnes,TOR,55,35.2,2.3,0.8,2.6,30.5,0.7,2.2,32.5,44.7
431,Scotty Pippen Jr.,LAL,6,5.3,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0
432,Serge Ibaka,MIL,16,11.6,0.9,0.3,1.1,27.8,0.3,1.1,29.4,41.7
433,Seth Curry,BKN,39,23.2,4.3,1.5,3.4,42.5,1.3,3.1,43.0,61.9
434,Shaedon Sharpe,POR,55,20.1,2.3,0.8,1.8,42.4,0.7,1.7,43.6,63.1
435,Shai Gilgeous-Alexander,OKC,51,35.5,1.0,0.4,1.0,36.7,0.3,0.8,33.3,51.0
436,Shake Milton,PHI,51,21.8,2.1,0.7,1.8,40.7,0.6,1.7,37.9,58.8
437,Simone Fontecchio,UTA,29,9.0,1.8,0.6,1.7,34.7,0.6,1.7,34.7,52.0
438,Spencer Dinwiddie,BKN,55,34.1,3.8,1.3,2.9,43.8,1.3,2.9,44.3,65.6
439,Stanley Johnson,SAS,30,15.6,1.6,0.6,1.2,47.2,0.5,1.1,45.5,68.1
440,Stephen Curry,GSW,38,34.5,6.2,2.1,5.3,39.8,2.0,5.1,39.2,58.7
441,Sterling Brown,LAL,4,6.1,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0
442,Steven Adams,MEM,42,27.0,0.1,0.0,0.1,33.3,0.0,0.0,0.0,33.3
443,Svi Mykhailiuk,CHA,13,3.1,0.7,0.2,0.4,60.0,0.2,0.4,60.0,90.0
444,T.J. McConnell,IND,55,19.7,0.6,0.2,0.6,34.4,0.2,0.5,37.0,50.0
445,T.J. Warren,PHX,26,18.8,2.1,0.8,1.9,40.8,0.6,1.6,35.7,56.1
446,Taj Gibson,WAS,35,9.8,0.4,0.2,0.7,25.0,0.1,0.4,21.4,31.3
447,Talen Horton-Tucker,UTA,44,16.1,1.0,0.3,1.5,21.5,0.3,1.4,22.2,32.3
448,Tari Eason,HOU,56,19.4,2.0,0.7,1.9,35.2,0.7,1.8,36.6,52.9
449,Taurean Prince,MIN,35,21.2,3.7,1.2,2.9,42.6,1.2,2.9,42.0,63.4
450,Terance Mann,LAC,58,23.3,1.9,0.6,1.7,36.6,0.6,1.7,37.0,55.0
451,Terence Davis,SAC,43,13.6,2.9,1.0,2.7,35.6,1.0,2.7,35.0,53.0
452,Terrence Ross,ORL,42,22.5,3.5,1.2,3.1,38.0,1.1,2.8,39.5,56.2
453,Terry Rozier,CHA,48,35.7,4.2,1.4,4.0,36.3,1.4,3.8,35.3,53.4
454,Terry Taylor,IND,26,8.8,0.5,0.2,0.7,23.5,0.2,0.7,23.5,35.3
455,Thaddeus Young,TOR,46,16.2,0.4,0.1,0.8,17.1,0.1,0.7,16.1,24.3
456,Thanasis Antetokounmpo,MIL,24,4.1,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0
457,Theo Maledon,CHA,36,16.1,1.4,0.5,1.0,47.2,0.4,0.9,45.5,68.1
458,Theo Pinson,DAL,30,6.4,1.0,0.3,1.0,34.5,0.3,1.0,34.5,51.7
459,Thomas Bryant,DEN,42,20.9,2.5,1.0,2.0,51.2,0.5,1.1,43.8,64.0
460,Tim Hardaway Jr.,DAL,54,30.2,6.8,2.3,6.4,36.2,2.2,6.2,35.7,53.5
461,Tobias Harris,PHI,51,33.7,4.8,1.6,4.5,35.9,1.5,4.3,36.2,53.0
462,Tony Bradley,CHI,11,2.7,0.5,0.2,0.5,40.0,0.2,0.4,50.0,60.0
463,Torrey Craig,PHX,55,25.8,3.7,1.3,3.2,39.2,1.2,3.1,39.6,58.2
464,Trae Young,ATL,50,35.5,1.6,0.5,1.5,35.1,0.5,1.4,37.1,52.7
465,Tre Jones,SAS,52,29.3,1.8,0.6,1.9,30.7,0.6,1.9,30.3,45.5
466,Tre Mann,OKC,50,18.6,1.5,0.5,1.6,32.1,0.5,1.6,31.3,47.5
467,Trendon Watford,POR,40,16.2,1.0,0.4,0.8,43.8,0.3,0.7,44.8,64.1
468,Trent Forrest,ATL,18,13.3,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0
469,Trevelin Queen,IND,7,10.0,0.4,0.1,0.7,20.0,0.1,0.7,20.0,30.0
470,Trevor Hudgins,HOU,2,4.8,1.5,0.5,0.5,100,0.5,0.5,100,150.0
471,Trevor Keels,NYK,1,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
472,Trey Lyles,SAC,50,15.9,3.1,1.0,2.7,38.0,1.0,2.7,38.0,56.9
473,Trey Murphy III,NOP,54,29.5,6.2,2.1,5.2,39.6,2.0,5.1,40.1,59.0
474,Troy Brown Jr.,LAL,51,24.3,3.4,1.1,3.2,36.0,1.1,3.1,35.7,53.4
475,Ty Jerome,GSW,34,17.9,1.8,0.6,1.6,37.7,0.6,1.6,37.7,56.6
476,TyTy Washington Jr.,HOU,21,12.0,0.6,0.2,1.4,13.8,0.2,1.4,13.8,20.7
477,Tyler Dorsey,DAL,3,2.8,1.0,0.3,0.7,50.0,0.3,0.7,50.0,75.0
478,Tyler Herro,MIA,45,35.4,4.4,1.5,4.0,37.4,1.4,3.8,36.0,54.7
479,Tyrese Haliburton,IND,46,33.4,2.3,0.8,1.9,39.8,0.8,1.9,39.8,59.7
480,Tyrese Martin,ATL,13,3.5,0.0,0.0,0.4,0.0,0.0,0.3,0.0,0.0
481,Tyrese Maxey,PHI,36,32.8,4.4,1.5,3.6,40.8,1.5,3.6,41.4,61.2
482,Tyus Jones,MEM,56,23.3,3.3,1.1,2.9,38.1,1.1,2.9,38.1,57.2
483,Udoka Azubuike,UTA,22,5.5,0.0,0.0,0.0,0.0,-,-,-,0.0
484,Udonis Haslem,MIA,6,7.9,0.3,0.2,1.2,14.3,0.0,0.3,0.0,14.3
485,Usman Garuba,HOU,49,13.7,0.9,0.3,0.6,48.3,0.3,0.6,48.3,72.4
486,Vernon Carey Jr.,WAS,10,2.6,0.0,0.0,0.2,0.0,-,-,-,0.0
487,Victor Oladipo,MIA,26,28.4,2.7,0.9,2.9,30.3,0.9,2.9,30.3,45.4
