,PLAYER,TEAM,GP,W,L,MIN,Touches,Elbow Touches,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
337,Marvin Bagley III,DET,25,6,19,21.3,31.6,1.4,0.6,1.0,62.5,0.0,0.1,50.0,1.3,88.9,0.4,25.0,0.0,0.0,0.1,5.6,0.0,2.8
338,Mason Plumlee,CHA,56,15,41,28.5,45.1,3.1,0.6,1.0,58.9,0.4,0.6,61.8,1.6,50.9,1.6,52.0,0.4,24.2,0.1,3.4,0.3,9.7
339,Matisse Thybulle,PHI,49,32,17,12.1,10.2,0.1,0.0,0.0,0.0,0.0,0.0,50.0,0.0,14.3,0.1,42.9,0.0,0.0,0.0,14.3,0.0,14.3
340,Matt Ryan,MIN,32,14,18,9.5,11.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,75.0,0.0,0.0,0.0,0.0,0.0,0.0
341,Matthew Dellavedova,SAC,23,13,10,6.3,14.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
342,Max Christie,LAL,33,14,19,14.5,14.1,0.2,0.0,0.1,50.0,0.0,0.0,0.0,0.1,40.0,0.1,60.0,0.0,33.3,0.0,0.0,0.0,0.0
343,Max Strus,MIA,53,28,25,29.6,47.3,0.5,0.2,0.2,76.9,0.0,0.0,100.0,0.4,92.0,0.2,40.0,0.0,20.0,0.0,0.0,0.0,4.0
344,Maxi Kleber,DAL,22,13,9,25.7,30.5,1.0,0.0,0.2,25.0,0.0,0.0,0.0,0.1,9.5,0.8,81.0,0.2,23.5,0.0,0.0,0.0,0.0
345,McKinley Wright IV,DAL,18,10,8,10.0,17.7,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,50.0,0.0,0.0,0.0,0.0,0.0,0.0
346,Mfiondu Kabengele,BOS,2,1,1,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
347,Micah Potter,UTA,3,2,1,4.8,8.3,0.3,0.3,0.3,100.0,0.0,0.0,0.0,0.7,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
348,Michael Foster Jr.,PHI,1,1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
349,Michael Porter Jr.,DEN,38,27,11,29.0,37.1,1.5,0.4,0.7,59.3,0.3,0.4,85.7,1.2,79.3,0.5,32.8,0.1,21.1,0.1,6.9,0.2,12.1
350,Mikal Bridges,BKN,56,30,26,36.4,50.6,1.5,0.5,0.8,62.8,0.1,0.1,100.0,1.0,69.0,0.5,35.7,0.1,20.0,0.1,6.0,0.0,2.4
351,Mike Conley,MIN,43,22,21,29.7,69.5,0.3,0.1,0.1,75.0,0.0,0.0,100.0,0.2,66.7,0.1,33.3,0.0,25.0,0.0,16.7,0.0,8.3
352,Mike Muscala,OKC,43,20,23,14.5,28.1,0.6,0.1,0.3,46.2,0.0,0.0,50.0,0.3,56.0,0.3,44.0,0.0,9.1,0.0,0.0,0.0,4.0
353,Miles McBride,NYK,44,24,20,13.1,20.4,0.2,0.1,0.1,83.3,0.0,0.0,0.0,0.2,125.0,0.0,12.5,0.0,0.0,0.0,12.5,0.0,0.0
354,Mitchell Robinson,NYK,38,21,17,26.9,25.9,0.7,0.0,0.1,25.0,0.0,0.1,0.0,0.1,7.7,0.5,73.1,0.1,10.5,0.0,0.0,0.0,3.8
355,Mo Bamba,LAL,40,18,22,17.0,26.8,0.8,0.2,0.3,58.3,0.0,0.1,25.0,0.4,45.5,0.4,45.5,0.1,13.3,0.1,12.1,0.1,6.1
356,Monte Morris,WAS,46,22,24,28.3,60.4,0.2,0.0,0.0,100.0,0.0,0.0,0.0,0.1,30.0,0.2,80.0,0.0,25.0,0.0,10.0,0.0,0.0
357,Montrezl Harrell,PHI,49,31,18,12.7,17.6,1.4,0.3,0.6,59.3,0.1,0.2,70.0,0.8,58.0,0.6,44.9,0.1,16.1,0.0,2.9,0.1,7.2
358,Moritz Wagner,ORL,34,16,18,21.3,40.0,2.2,0.6,1.1,56.4,0.5,0.6,84.2,1.8,80.0,0.4,20.0,0.1,13.3,0.2,9.3,0.3,13.3
359,Moses Brown,LAC,34,16,18,8.5,11.6,0.6,0.4,0.4,86.7,0.1,0.2,50.0,0.9,136.4,0.1,9.1,0.0,50.0,0.0,4.5,0.1,13.6
