,PLAYER,TEAM,GP,W,L,MIN,DRIVES,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
429,Sandro Mamukelashvili,MIL,24,17,7,9.0,1.0,0.1,0.2,60.0,0.2,0.3,50.0,0.4,43.5,0.3,34.8,0.1,13.0,0.2,21.7,0.2,17.4
430,Santi Aldama,MEM,55,32,23,22.0,1.9,0.5,0.9,50.0,0.1,0.2,66.7,1.1,58.9,0.7,35.5,0.4,18.7,0.1,7.5,0.1,5.6
431,Scottie Barnes,TOR,57,27,30,35.3,6.4,1.6,3.3,49.2,0.7,0.8,83.3,4.0,63.1,2.1,33.3,0.5,7.4,0.4,6.1,0.4,6.6
432,Scotty Pippen Jr.,LAL,6,1,5,5.3,2.3,0.5,1.0,50.0,0.2,0.3,50.0,1.2,50.0,0.8,35.7,0.2,7.1,0.2,7.1,0.2,7.1
433,Serge Ibaka,MIL,16,11,5,11.6,0.7,0.3,0.4,57.1,0.0,0.0,0.0,0.5,72.7,0.2,27.3,0.0,0.0,0.1,9.1,0.0,0.0
434,Seth Curry,BKN,40,27,13,22.8,3.6,0.7,1.3,52.8,0.2,0.2,100.0,1.6,45.1,1.9,52.8,0.5,14.1,0.2,5.6,0.1,2.8
435,Shaedon Sharpe,POR,58,27,31,20.3,1.8,0.6,1.1,51.6,0.1,0.2,50.0,1.2,67.3,0.5,27.1,0.1,3.7,0.1,6.5,0.1,4.7
436,Shai Gilgeous-Alexander,OKC,54,25,29,35.5,24.4,5.6,11.0,50.7,5.3,5.9,89.1,17.0,69.7,8.4,34.5,1.8,7.5,1.4,5.9,3.0,12.2
437,Shake Milton,PHI,54,39,15,21.2,6.9,1.4,3.2,44.8,0.5,0.6,90.0,3.4,49.3,2.7,39.6,0.6,9.2,0.4,5.9,0.3,4.0
438,Simone Fontecchio,UTA,32,18,14,9.8,0.9,0.3,0.5,66.7,0.0,0.1,50.0,0.7,70.0,0.4,43.3,0.1,13.3,0.0,3.3,0.0,3.3
439,Spencer Dinwiddie,BKN,57,30,27,34.1,10.7,2.4,4.8,49.1,1.8,2.3,80.8,6.8,63.5,3.8,35.0,0.9,8.8,0.6,6.1,1.1,10.6
440,Stanley Johnson,SAS,29,5,24,15.8,2.8,0.6,1.1,51.6,0.4,0.7,63.2,1.6,57.5,1.2,42.5,0.3,12.5,0.1,3.8,0.3,12.5
441,Stanley Umude,DET,1,0,1,2.1,1.0,0.0,0.0,0.0,2.0,2.0,100.0,2.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
442,Stephen Curry,GSW,37,19,18,34.9,8.8,2.6,4.4,59.1,1.3,1.4,94.0,6.6,75.5,3.2,35.9,0.7,8.3,0.4,4.6,0.6,7.4
443,Sterling Brown,LAL,4,2,2,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
444,Steven Adams,MEM,42,28,14,27.0,0.9,0.4,0.6,57.7,0.1,0.2,40.0,0.8,89.7,0.1,12.8,0.0,0.0,0.0,5.1,0.1,12.8
445,Svi Mykhailiuk,CHA,14,9,5,4.6,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,33.3,0.1,33.3,0.0,0.0,0.0,0.0
446,T.J. McConnell,IND,58,24,34,19.5,11.6,2.2,4.3,52.0,0.3,0.4,86.4,4.9,42.4,6.1,52.1,1.3,10.8,0.8,7.0,0.2,1.6
447,T.J. Warren,PHX,28,17,11,18.0,2.9,0.8,2.0,40.0,0.3,0.4,70.0,1.8,63.8,0.6,20.0,0.1,5.0,0.1,5.0,0.2,6.3
448,Taj Gibson,WAS,36,17,19,9.8,0.1,0.1,0.1,66.7,0.0,0.0,0.0,0.1,100.0,0.1,40.0,0.0,0.0,0.0,0.0,0.0,0.0
449,Talen Horton-Tucker,UTA,47,24,23,16.9,7.4,1.7,3.3,51.0,1.0,1.3,79.7,4.4,59.7,2.7,36.0,0.7,8.9,0.7,8.9,0.6,8.4
450,Tari Eason,HOU,58,13,45,19.4,3.9,0.7,1.8,36.2,0.4,0.4,88.0,1.8,44.5,1.5,38.9,0.3,6.6,0.3,7.0,0.2,5.2
451,Taurean Prince,MIN,37,21,16,21.3,3.1,0.9,1.5,57.9,0.0,0.1,25.0,1.8,59.6,0.9,29.8,0.2,6.1,0.5,14.9,0.1,1.8
452,Terance Mann,LAC,60,33,27,23.5,4.5,1.0,1.9,52.6,0.6,0.6,89.2,2.6,58.8,1.9,42.3,0.5,11.2,0.3,5.6,0.3,7.1
453,Terence Davis,SAC,45,25,20,13.9,2.4,0.3,0.7,45.5,0.4,0.4,88.9,1.0,42.6,1.1,45.4,0.2,8.3,0.3,13.0,0.2,8.3
454,Terrence Ross,PHX,43,16,27,22.5,2.4,0.8,1.6,52.2,0.2,0.2,100.0,1.8,76.7,0.6,24.3,0.2,6.8,0.1,3.9,0.1,3.9
455,Terry Rozier,CHA,49,13,36,35.6,13.0,2.9,6.3,45.0,1.2,1.5,78.7,7.1,54.8,5.0,38.3,1.1,8.7,0.6,4.4,0.8,5.8
456,Terry Taylor,CHI,26,9,17,8.8,1.2,0.4,0.7,52.6,0.1,0.2,75.0,0.9,76.7,0.3,23.3,0.0,3.3,0.1,6.7,0.1,6.7
457,Thaddeus Young,TOR,47,20,27,16.0,0.9,0.2,0.4,57.9,0.1,0.1,66.7,0.6,63.4,0.3,39.0,0.1,9.8,0.1,7.3,0.1,7.3
458,Thanasis Antetokounmpo,MIL,25,17,8,4.1,0.3,0.0,0.2,0.0,0.0,0.1,50.0,0.0,12.5,0.1,37.5,0.0,0.0,0.0,0.0,0.0,12.5
459,Theo Maledon,CHA,36,10,26,16.1,4.7,0.8,1.8,43.9,0.8,0.9,90.9,2.5,53.3,2.1,45.0,0.5,10.7,0.2,3.6,0.5,10.1
460,Theo Pinson,DAL,33,16,17,7.2,0.6,0.1,0.2,42.9,0.0,0.1,50.0,0.2,40.0,0.3,50.0,0.1,15.0,0.1,10.0,0.0,5.0
