,Player,Team,GP,MIN,W,L,STL,BLK,DREB,DFGM,DFGA,DFG%
446,Taurean Prince,MIN,34,21.3,20,14,0.5,0.4,2.1,1.4,2.0,69.1
447,Terance Mann,LAC,57,23.2,31,26,0.5,0.3,2.8,1.6,2.2,71.2
448,Terence Davis,SAC,41,13.0,23,18,0.8,0.3,2.0,0.7,1.2,58.3
449,Terrence Ross,ORL,42,22.5,16,26,0.6,0.2,1.8,1.1,1.4,77.6
450,Terry Rozier,CHA,46,35.8,12,34,1.0,0.2,3.4,1.1,1.4,77.8
451,Terry Taylor,IND,26,8.8,9,17,0.1,0.2,0.7,0.4,0.6,62.5
452,Thaddeus Young,TOR,44,16.2,18,26,1.1,0.1,1.9,1.6,2.0,80.0
453,Thanasis Antetokounmpo,MIL,23,4.2,15,8,0.1,0.1,0.7,0.5,0.8,66.7
454,Theo Maledon,CHA,36,16.1,10,26,0.8,0.2,2.1,1.1,1.5,74.5
455,Theo Pinson,DAL,28,6.0,14,14,0.1,0.0,1.0,0.5,0.6,81.3
456,Thomas Bryant,DEN,41,21.4,21,20,0.3,0.6,5.2,3.7,5.3,69.9
457,Tim Hardaway Jr.,DAL,52,30.4,30,22,0.8,0.1,3.2,1.8,2.5,74.2
458,Tobias Harris,PHI,49,33.7,31,18,1.0,0.6,5.1,2.1,2.7,76.7
459,Tony Bradley,CHI,10,2.9,4,6,0.1,0.0,0.9,0.6,0.7,85.7
460,Torrey Craig,PHX,53,25.4,29,24,0.7,0.6,3.6,1.7,2.7,64.3
461,Trae Young,ATL,48,35.5,25,23,0.9,0.1,2.2,0.9,1.2,74.1
462,Tre Jones,SAS,50,29.4,14,36,1.3,0.2,2.8,1.5,2.1,71.0
463,Tre Mann,OKC,49,18.5,23,26,0.7,0.2,1.9,1.0,1.3,72.7
464,Trendon Watford,POR,39,16.2,20,19,0.4,0.2,2.7,1.6,2.2,72.6
