,player
1279,Alperen Sengun
1280,Vit Krejci
1281,Franz Wagner
1282,Joshua Primo
1283,Jock Landale
1284,Jalen Suggs
1285,Marcus Garrett
1286,Omer Yurtseven
1287,Sharife Cooper
1288,Jalen Johnson
1289,Justin Champagnie
1290,RJ Nembhard Jr.
1291,James Bouknight
1292,JT Thor
1293,Kai Jones
1294,Kevin Pangos
1295,Corey Kispert
1296,Miles McBride
1297,Austin Reaves
1298,Jamorko Pickett
1299,Luka Garza
1300,Isaiah Jackson
1301,Greg Brown III
1302,Day'Ron Sharpe
1303,Bones Hyland
1304,Petr Cornelie
1305,Brandon Boston
1306,Joel Ayayi
1307,Isaiah Todd
1308,David Johnson
1309,Santi Aldama
1310,Duane Washington Jr.
1311,DeJon Jarreau
1312,Eugene Omoruyi
1313,Cade Cunningham
1314,Jonathan Kuminga
1315,JaQuori McLaughlin
1316,Jeff Dowtin
1317,Jose Alvarado
1318,Jay Huff
1319,Keon Johnson
1320,Joe Wieskamp
1321,Yves Pons
1322,Trendon Watford
1323,Aaron Wiggins
1324,Kessler Edwards
1325,Ish Wainright
1326,Sam Hauser
1327,Marko Simonovic
1328,Daishen Nix
1329,Javonte Smart
1330,David Duke Jr.
1331,Arnoldas Kulboka
1332,Scottie Lewis
1333,Isaiah Livers
1334,Neemias Queta
1335,Chaundee Brown Jr.
1336,Hassani Gravett
1337,Aleem Ford
1338,Trevelin Queen
1339,Myles Powell
1340,Trevon Scott
1341,Ade Murkey
1342,Moses Wright
1343,Carlik Jones
1344,Tyler Hall
1345,Malcolm Hill
1346,Cat Barber
1347,Shaq Buchanan
1348,Jordan Schakel
1349,Xavier Moon
1350,Brandon Williams
1351,Cameron McGriff
1352,Jarron Cumberland
1353,Craig Sword
1354,Jordan Goodwin
1355,Olivier Sarr
1356,Mac McClung
1357,Trayvon Palmer
1358,Keifer Sykes
1359,Rob Edwards
1360,Jaime Echenique
1361,M.J. Walker
1362,Xavier Sneed
1363,Javin DeLaurier
1364,Jaysean Paige
1365,Micah Potter
1366,Paris Bass
1367,Jon Teske
1368,Ahmad Caver
1369,Terry Taylor
1370,Braxton Key
1371,Lindell Wigginton
1372,Lindy Waters III
1373,Gabriel Lundberg
1374,Zavier Simpson
1375,Feron Hunt
1376,Gabe York
1377,Matt Ryan
1378,Melvin Frazier
